,(5 Rec) R_precision,(5 Rec) NDCG,(50 Rec) R_precision,(50 Rec) NDCG,(200 Rec) R_precision,(200 Rec) NDCG,(500 Rec) R_precision,(500 Rec) NDCG
Top500,0.0046540002569414336,0.010397473736794898,0.006192343948226301,0.014750348746011166,0.006192343948226301,0.028965415385111395,0.006192343948226301,0.04339217450750039
User_to_user,0.03018533875046118,0.0718113236847498,0.05014236117555502,0.0867901059489154,0.05014236117555502,0.12401939082429853,0.05014236117555502,0.14775514611808416
Item_to_item,0.00543560606060606,0.006854514890704877,0.006113261738261738,0.00936076055860962,0.006113261738261738,0.0161356503220493,0.006113261738261738,0.026641893837137685
ALS,0.035193717222799376,0.0801313449658889,0.05856125720316229,0.09597741042579244,0.05856125720316229,0.13514225137319769,0.05856125720316229,0.15501329836973107
KNN,0.03018533875046118,0.0718113236847498,0.05052922431241816,0.08735570776719913,0.05052922431241816,0.12448704971295883,0.05052922431241816,0.14790050147776976
NN,0.016574354535485367,0.035461061066667174,0.02411898039963456,0.03899599810971363,0.02411898039963456,0.059875853886125284,0.02411898039963456,0.07293764628889057
