,(5 Rec) R_precision,(5 Rec) NDCG,(50 Rec) R_precision,(50 Rec) NDCG,(200 Rec) R_precision,(200 Rec) NDCG,(500 Rec) R_precision,(500 Rec) NDCG
ALS_1K,0.035193717222799376,0.0801313449658889,0.05856125720316229,0.09597741042579244,0.05856125720316229,0.13514225137319769,0.05856125720316229,0.15501329836973107
ALS_3K,0.04267188185441982,0.10983481925616438,0.07435951788328779,0.135022242855317,0.07435951788328779,0.17882073514421432,0.07435951788328779,0.20330650033693465
ALS_5K,0.04656808471694346,0.12324056724913203,0.08243567006583168,0.14856302160895415,0.08243567006583168,0.202287337499091,0.08243567006583168,0.2327983646733635
ALS_7K,0.059178434587102494,0.15341578593127744,0.09917910617759404,0.17343662926835915,0.09917910617759404,0.22540254627578543,0.09917910617759404,0.252058600692321
ALS_10K,0.057507081848608345,0.14770573433762907,0.09842227970489284,0.1715257490382241,0.09842227970489284,0.2222366528755584,0.09842227970489284,0.24785530048879362
